commune,latitude,longitude,sport,source
Plélan-le-Petit,48.43022,-2.21451,tennis,equipement
Pléneuf-Val-André,48.58695,-2.53158,tennis,equipement
Plérin,48.53955,-2.75363,tennis,equipement
Plouvara,48.50808,-2.91975,tennis,equipement
Pommeret,48.46102,-2.6241,tennis,equipement
Saint-Brandan,48.39356,-2.86423,tennis,equipement
La Celle-Dunoise,46.3087,1.77347,tennis,equipement
Châtelus-Malvaleix,46.3032,2.02018,tennis,equipement
Chénérailles,46.1117,2.1718,tennis,equipement
Le Bugue,44.90838,0.9295,tennis,equipement
Champagnac-de-Belair,45.39089,0.69385,tennis,equipement
Couze-et-Saint-Front,44.82482,0.70455,tennis,equipement
Eymet,44.67395,0.40716,tennis,equipement
Lalinde,44.83958,0.7632,tennis,equipement
Marsac-sur-l'Isle,45.18729,0.66501,tennis,equipement
Marsalès,44.68797,0.88759,tennis,equipement
Périgueux,45.19554,0.69882,tennis,equipement
Port-Sainte-Foy-et-Ponchapt,44.84707,0.22322,tennis,equipement
Saint-Cyprien,44.86666,1.03685,tennis,equipement
Aibre,47.54827,6.70378,tennis,equipement
Dambelin,47.3761,6.68219,tennis,equipement
Les Écorces,47.21801,6.79644,tennis,equipement
Franois,47.22599,5.92195,tennis,equipement
Maisons-du-Bois-Lièvremont,46.97056,6.4254,tennis,equipement
Les Monts-Ronds,47.16103,6.07608,tennis,equipement
Nommay,47.540509,6.841524,tennis,equipement
Pontarlier,46.90206,6.34413,tennis,equipement
Seloncourt,47.45525,6.84932,tennis,equipement
Val-d'Usiers,46.9574,6.26321,tennis,equipement
Anneyron,45.2735,4.88874,tennis,equipement
Chamaret,44.395941,4.87896,tennis,equipement
Die,44.7632471895,5.35643845797,tennis,equipement
Dieulefit,44.5214751056,5.0595125556,tennis,equipement
Étoile-sur-Rhône,44.8528,4.87467,tennis,equipement
Eymeux,45.0732,5.17634,tennis,equipement
Grignan,44.4160842029,4.90570932627,tennis,equipement
Montbrun-les-Bains,44.171328,5.4428,tennis,equipement
Montélier,44.9367117975,5.02439707518,tennis,equipement
Montélier,44.9294336246,5.02811363131,tennis,equipement
Peyrins,45.099945973,5.03955155611,tennis,equipement
Saint-Paul-Trois-Châteaux,44.3513505574,4.78040724993,tennis,equipement
Suze-la-Rousse,44.2857580963,4.83396023512,tennis,equipement
Acquigny,49.1698,1.18425,tennis,equipement
Beaumont-le-Roger,49.08141,0.77546,tennis,equipement
Bernay,49.08396,0.5883,tennis,equipement
Brionne,49.18842,0.72194,tennis,equipement
Nassandres sur Risle,49.14361,0.72954,tennis,equipement
Le Neubourg,49.1415,0.90552,tennis,equipement
Pont-Audemer,49.3508324283,0.512188388966,tennis,equipement
Le Vaudreuil,49.2605,1.20428,tennis,equipement
Le Thuit de l'Oison,49.2743,0.96852,tennis,equipement
Val-de-Reuil,49.27302,1.19712,tennis,equipement
Béville-le-Comte,48.43675,1.71856,tennis,equipement
Bonneval,48.17951,1.39432,tennis,equipement
Brezolles,48.68697,1.07102,tennis,equipement
Châteaudun,48.06586,1.33231,tennis,equipement
Vald'Yerre,48.07676,1.13762,tennis,equipement
Épernon,48.6057456107,1.67149870128,tennis,equipement
Mainvilliers,48.44686,1.45907,tennis,equipement
Mévoisins,48.5520803821,1.59456253052,tennis,equipement
Nogent-le-Rotrou,48.31568,0.81316,tennis,equipement
Vernouillet,48.7347390088,1.33261263371,tennis,equipement
Les Villages Vovéens,48.2761641723,1.63089036942,tennis,equipement
Brest,48.411827,-4.498923,tennis,equipement
Briec,48.0981,-3.99551,tennis,equipement
Châteaulin,48.19231,-4.08844,tennis,equipement
Fouesnant,47.85552,-3.98836,tennis,equipement
Gourlizon,48.0201284851,-4.26343023777,tennis,equipement
Île-Tudy,47.85979,-4.15862,tennis,equipement
Loctudy,47.84381,-4.18973,tennis,equipement
Névez,47.79791,-3.74657,tennis,equipement
Plomeur,47.84102,-4.27871,tennis,equipement
Plouescat,48.6591615337,-4.21323806047,tennis,equipement
Plouguin,48.52907,-4.59908,tennis,equipement
Sizun,48.39914,-4.0781,tennis,equipement
Bastelicaccia,41.92754,8.82386,tennis,equipement
Borgo,42.5887,9.51035,tennis,equipement
L'Île-Rousse,42.63098,8.9347,tennis,equipement
Aigues-Mortes,43.57085,4.19582,tennis,equipement
Aigues-Vives,43.73476,4.18307,tennis,equipement
Anduze,44.04475,3.98544,tennis,equipement
Bagard,44.0753,4.05586,tennis,equipement
Caveirac,43.8233,4.27907,tennis,equipement
Clarensac,43.82499,4.23155,tennis,equipement
Connaux,44.08563,4.59037,tennis,equipement
Fourques,43.69841,4.61022,tennis,equipement
Le Grau-du-Roi,43.53587,4.14382,tennis,equipement
Lasalle,44.04404,3.8536,tennis,equipement
Nîmes,43.82925,4.34058,tennis,equipement
Orsan,44.13226,4.66808,tennis,equipement
Poulx,43.91149,4.41717,tennis,equipement
Rousson,44.18381,4.14356,tennis,equipement
Saint-Hilaire-de-Brethmas,44.08502,4.11985,tennis,equipement
Saint-Hippolyte-du-Fort,43.96156,3.85274,tennis,equipement
Saint-Maximin,44.0003,4.45266,tennis,equipement
Uzès,44.00159,4.40759,tennis,equipement
Vergèze,43.74953,4.22424,tennis,equipement
Villeneuve-lès-Avignon,43.96777,4.79204,tennis,equipement
Rodilhan,43.822809,4.433026,tennis,equipement
Aspet,43.01139,0.79716,tennis,equipement
Aurignac,43.21306,0.8932,tennis,equipement
Auterive,43.34312,1.48148,tennis,equipement
Auzeville-Tolosane,43.52644,1.50076,tennis,equipement
Buzet-sur-Tarn,43.77753,1.63597,tennis,equipement
Castelginest,43.69046,1.44339,tennis,equipement
Cépet,43.7443,1.4253,tennis,equipement
Colomiers,43.59863,1.33626,tennis,equipement
Escalquens,43.51742,1.55934,tennis,equipement
Labastidette,43.45477,1.24329,tennis,equipement
Landorthe,43.12973,0.7827,tennis,equipement
Montrabé,43.63865,1.52256,tennis,equipement
Muret,43.48247,1.32396,tennis,equipement
Pins-Justaret,43.48215,1.38637,tennis,equipement
Saint-Gaudens,43.11639,0.72753,tennis,equipement
Saint-Geniès-Bellevue,43.68792,1.47869,tennis,equipement
Saint-Orens-de-Gameville,43.5617,1.52718,padel,equipement
Toulouse,43.62286,1.41239,tennis,equipement
Toulouse,43.62408,1.42295,tennis,equipement
Toulouse,43.6132,1.41617,tennis,equipement
Vernet,43.43513,1.43676,tennis,equipement
Condom,43.94932,0.36227,tennis,equipement
Gondrin,43.88348,0.23709,tennis,equipement
Nogaro,43.76528,-0.03485,tennis,equipement
Saint-Clar,43.88871,0.76446,tennis,equipement
Artigues-près-Bordeaux,44.86125,-0.49198,tennis,equipement
Bordeaux,44.84302,-0.60533,tennis,equipement
Bordeaux,44.8374569595,-0.554061233997,tennis,equipement
Le Bouscat,44.86605978,-0.60852448,tennis,equipement
Bruges,44.88338,-0.61781,tennis,equipement
Carcans,45.06646,-1.14112,tennis,equipement
Carignan-de-Bordeaux,44.81422,-0.47443,tennis,equipement
Chamadelle,45.08831,-0.08427,tennis,equipement
Cubnezais,45.07216,-0.40691,tennis,equipement
Fronsac,44.92104,-0.27148,tennis,equipement
Gensac,44.80369,0.07348,tennis,equipement
Grignols,44.39274,-0.04071,tennis,equipement
Illats,44.5941,-0.36403,tennis,equipement
Izon,44.91922,-0.36224,tennis,equipement
Lacanau,44.99795,-1.18221,tennis,equipement
Langoiran,44.70813,-0.39683,tennis,equipement
Lanton,44.71514,-1.05936,tennis,equipement
Latresne,44.78511,-0.49843,tennis,equipement
Lège-Cap-Ferret,44.7539,-1.17868,tennis,equipement
Lège-Cap-Ferret,44.6403191028,-1.25467568636,padel,equipement
Léognan,44.72221,-0.57518,tennis,equipement
Ludon-Médoc,44.9831,-0.60561,tennis,equipement
Lugos,44.48535,-0.88187,tennis,equipement
Monségur,44.64727,0.07159,tennis,equipement
Mouliets-et-Villemartin,44.84073,-0.01716,tennis,equipement
Pauillac,45.19417,-0.74689,tennis,equipement
Pessac,44.78976,-0.67996,tennis,equipement
Quinsac,44.75669,-0.48863,tennis,equipement
Rauzan,44.77297,-0.12808,tennis,equipement
Saint-Émilion,44.89673,-0.15672,tennis,equipement
Sainte-Hélène,44.96702,-0.88619,tennis,equipement
Saint-Seurin-sur-l'Isle,45.0148,0.00456,tennis,equipement
La Sauve,44.77042,-0.31181,tennis,equipement
Abeilhan,43.44836,3.2966,tennis,equipement
Baillargues,43.66802,4.01973,tennis,equipement
Béziers,43.36483,3.2151,tennis,equipement
Le Bousquet-d'Orb,43.69626695,3.16687745,tennis,equipement
Canet,43.611217,3.483968,tennis,equipement
Castelnau-le-Lez,43.62942,3.90491,tennis,equipement
Cers,43.32095,3.30789,tennis,equipement
Cruzy,43.34768,2.94114,tennis,equipement
Gigean,43.494048,3.707903,tennis,equipement
Grabels,43.65442,3.82943,tennis,equipement
Hérépian,43.59751653,3.12048143,tennis,equipement
Lattes,43.56042,3.88012,tennis,equipement
Lieuran-lès-Béziers,43.41561,3.23988,tennis,equipement
Lignan-sur-Orb,43.381,3.17282,tennis,equipement
Loupian,43.44416,3.61455,tennis,equipement
Mèze,43.42016,3.602,tennis,equipement
Montpellier,43.62885,3.84055,tennis,equipement
Murviel-lès-Montpellier,43.60744,3.73161,tennis,equipement
Olonzac,43.2816,2.73258,tennis,equipement
Pérols,43.56035,3.93432,tennis,equipement
Pignan,43.5788310086,3.76088979654,tennis,equipement
Saint-Brès,43.6725488306,4.03240010128,tennis,equipement
Saint-Drézéry,43.7333,3.97863,tennis,equipement
Saint-Georges-d'Orques,43.60679,3.78467,tennis,equipement
Saint-Mathieu-de-Tréviers,43.771672,3.872084,tennis,equipement
Teyran,43.68188,3.9321,tennis,equipement
Thézan-lès-Béziers,43.42288,3.16291,tennis,equipement
Valros,43.41487,3.37004,tennis,equipement
Viols-le-Fort,43.73988,3.70793,tennis,equipement
Châteaubourg,48.11357,-1.40256,tennis,equipement
Combourg,48.405898,-1.743874,tennis,equipement
Langon,47.718236,-1.851822,tennis,equipement
Lécousse,48.36487,-1.21493,tennis,equipement
Louvigné-de-Bais,48.052602,-1.326456,tennis,equipement
Miniac-Morvan,48.514075,-1.904548,tennis,equipement
Montgermont,48.14451,-1.70646,tennis,equipement
Mordelles,48.074379,-1.850497,tennis,equipement
Pancé,47.8852,-1.6626,tennis,equipement
Rennes,48.13402,-1.64968,tennis,equipement
Saint-Lunaire,48.63823,-2.10596,tennis,equipement
Saint-Malo,48.643996,-2.006468,tennis,equipement
Val-d'Izé,48.17834,-1.30154,tennis,equipement
Argenton-sur-Creuse,46.58421,1.53218,tennis,equipement
Buzançais,46.89358,1.43446,tennis,equipement
La Châtre,46.5822675527,1.97931468487,tennis,equipement
Déols,46.82862,1.7123,tennis,equipement
Diors,46.82421,1.81465,tennis,equipement
Étrechet,46.7782868,1.78273093,tennis,equipement
Neuvy-Pailloux,46.8830551377,1.85597409041,tennis,equipement
Le Poinçonnet,46.76406,1.72432,tennis,equipement
Saint-Août,46.73371,1.96344,tennis,equipement
Saint-Benoît-du-Sault,46.44302,1.39641,tennis,equipement
Valençay,47.15777,1.55042,tennis,equipement
Azay-sur-Cher,47.349495,0.840631,tennis,equipement
Braslou,46.99513,0.3954,tennis,equipement
Chanceaux-sur-Choisille,47.47371,0.70761,tennis,equipement
Chouzé-sur-Loire,47.23647,0.11911,tennis,equipement
Larçay,47.36898,0.77499,tennis,equipement
Montlouis-sur-Loire,47.39318,0.81255,tennis,equipement
Saint-Avertin,47.34613,0.73016,tennis,equipement
Tours,47.3778152305,0.731062889099,tennis,equipement
Veigné,47.28185,0.75055,tennis,equipement
La Balme-les-Grottes,45.84785,5.33332,tennis,equipement
Charvieu-Chavagneux,45.7460588073,5.15588205499,tennis,equipement
Chatte,45.1408,5.28148,tennis,equipement
Chimilin,45.57198,5.59396,tennis,equipement
Clonas-sur-Varèze,45.4132218499,4.785785079,tennis,equipement
Porte-des-Bonnevaux,45.4293704498,5.23059993982,tennis,equipement
